Clock_rate=3936 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  773.3    30436.5  Chosen kgemm
  350.2    13785.0  Generated kgemm
  340.7    13410.2  kgemmNT
  324.0    12751.5  kgemmTN
   96.3     3788.5  kgemvN
  101.7     4001.0  kgemvT
   66.3     2609.0  kger
  733.6    28875.2  N=1600 GEMM
