Clock_rate=3936 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
 1480.0    58254.4  Chosen kgemm
  355.5    13994.3  Generated kgemm
  356.0    14011.1  kgemmNT
  350.9    13809.9  kgemmTN
  205.2     8077.4  kgemvN
  204.8     8061.1  kgemvT
  128.2     5045.0  kger
 1394.7    54894.0  N=1600 GEMM
