Clock_rate=3936 Mhz
% clock      MFLOP  ROUTINE/PROBLEM
=======  =========  ===============
  714.9    28137.2  Chosen kgemm
  349.0    13738.2  Generated kgemm
  338.6    13328.4  kgemmNT
  326.8    12862.5  kgemmTN
  186.4     7336.2  kgemvN
  203.1     7995.6  kgemvT
  135.2     5322.8  kger
  732.7    28840.3  N=1600 GEMM
