xstr ystr
1.30679246 0.24670834
1.32653550 0.24865951
1.34626873 0.25067239
1.36599211 0.25274672
1.38570556 0.25488229
1.40540902 0.25707898
1.42510239 0.25933669
1.44478557 0.26165541
1.46445847 0.26403515
1.48412096 0.26647598
1.50377292 0.26897803
1.52341421 0.27154147
1.54304467 0.27416650
1.56266416 0.27685339
1.58227249 0.27960244
1.60186947 0.28241399
1.62145492 0.28528842
1.64102862 0.28822617
1.66059035 0.29122769
1.68013986 0.29429348
1.69967691 0.29742408
1.71920124 0.30062008
1.73871256 0.30388208
1.75821057 0.30721074
1.77769498 0.31060673
1.79716544 0.31407079
1.81662162 0.31760366
1.83606316 0.32120614
1.85548968 0.32487905
1.87490078 0.32862326
1.89429606 0.33243965
1.91367507 0.33632916
1.93303736 0.34029274
1.95238247 0.34433141
1.97170988 0.34844617
1.99101910 0.35263811

0.01000000 0.40000000
0.03003011 0.39936446
0.05006659 0.39811057
0.07008997 0.39627457
0.09008444 0.39390840
0.11003926 0.39107509
0.12994914 0.38784397
0.14981379 0.38428634
0.16963692 0.38047206
0.18942512 0.37646719
0.20918658 0.37233249
0.22893015 0.36812266
0.24866453 0.36388619
0.26839773 0.35966537
0.28813672 0.35549669
0.30788725 0.35141119
0.32765383 0.34743497
0.34743970 0.34358967
0.36724699 0.33989288
0.38707682 0.33635867
0.40692944 0.33299796
0.42680440 0.32981893
0.44670068 0.32682736
0.46661681 0.32402701
0.48655103 0.32141988
0.50650136 0.31900650
0.52646569 0.31678616
0.54644188 0.31475717
0.56642777 0.31291701
0.58642126 0.31126251
0.60642035 0.30979001
0.62642311 0.30849549
0.64642776 0.30737464
0.66643264 0.30642300
0.68643621 0.30563602
0.70643708 0.30500908
0.72643398 0.30453763
0.74642576 0.30421716
0.76641138 0.30404324
0.78638993 0.30401158
0.80636057 0.30411804
0.82632258 0.30435862
0.84627529 0.30472949
0.86621814 0.30522701
0.88615060 0.30584770
0.90607222 0.30658827
0.92598260 0.30744562
0.94588137 0.30841681
0.96576821 0.30949909
0.98564284 0.31068988
1.00550500 0.31198676
1.02535444 0.31338748
1.04519095 0.31488995
1.06501432 0.31649223
1.08482437 0.31819253
1.10462091 0.31998919
1.12440377 0.32188070
1.14417277 0.32386568
1.16392774 0.32594286
1.18366851 0.32811111
1.20339490 0.33036940
1.22310673 0.33271682
1.24280382 0.33515256
1.26248598 0.33767592
1.28215300 0.34028628
1.30180467 0.34298313
1.32144077 0.34576605
1.34106107 0.34863470
1.36066532 0.35158882
1.38025326 0.35462824
1.39982461 0.35775287
1.41937908 0.36096267
1.43891637 0.36425771
1.45843615 0.36763810
1.47793808 0.37110403
1.49742179 0.37465575
1.51688692 0.37829359
1.53633304 0.38201791
1.55575976 0.38582917
1.57516661 0.38972785
1.59455314 0.39371453
1.61391886 0.39778980
1.63326324 0.40195435
1.65258576 0.40620890
1.67188584 0.41055422
1.69116290 0.41499113
1.71041630 0.41952054
1.72964541 0.42414336
1.74884954 0.42886058
1.76802797 0.43367323
1.78717997 0.43858239
1.80630475 0.44358921
1.82540150 0.44869485
1.84446937 0.45390055
1.86350747 0.45920759
1.88251488 0.46461728
1.90149061 0.47013100
1.92043367 0.47575018
1.93934299 0.48147628
1.95821748 0.48731082
1.97705597 0.49325536
1.99585728 0.49931150

0.01000000 0.50000000
0.03002915 0.49925640
0.05005493 0.49779302
0.07005124 0.49565904
0.08999791 0.49292327
0.10988254 0.48966696
0.12970061 0.48597667
0.14945434 0.48193859
0.16915100 0.47763453
0.18880096 0.47313954
0.20841617 0.46852088
0.22800883 0.46383781
0.24759052 0.45914188
0.26717167 0.45447751
